raw_hr,HRV_SDSD,HRV_MaxNN,HRV_CVNN,drowsiness_label,Time_Period,Smooth_BPM,HRV_SDNN,Drive_Duration,HRV_RMSSD
82.9000015258789,24.01160947153226,774.1935483870968,0.023540991618074363,1,2,80.06666819254558,17.4953376615612,0.0,22.292519175995178
79.80000305175781,24.01160947153226,774.1935483870968,0.023540991618074363,1,2,80.06666819254558,17.4953376615612,8.571428000000001,22.292519175995178
77.5,24.01160947153226,774.1935483870968,0.023540991618074363,1,2,80.06666819254558,17.4953376615612,17.142857,22.292519175995178
80.9000015258789,24.01160947153226,774.1935483870968,0.023540991618074363,1,2,81.66666666666667,17.4953376615612,25.714285,22.292519175995178
82.9000015258789,24.01160947153226,774.1935483870968,0.023540991618074363,1,2,81.66666666666667,17.4953376615612,34.285714,22.292519175995178
81.19999694824219,24.01160947153226,774.1935483870968,0.023540991618074363,1,2,81.66666666666667,17.4953376615612,42.857142,22.292519175995178
80.19999694824219,24.01160947153226,774.1935483870968,0.023540991618074363,1,2,80.19999694824219,17.4953376615612,51.428571,22.292519175995178
80.19999694824219,19.936434532162714,748.1297042781879,0.01977898152128081,1,2,82.33333079020183,14.347292894154108,60.0,19.05347614410772
81.69999694824219,19.936434532162714,748.1297042781879,0.01977898152128081,1,2,82.33333079020183,14.347292894154108,68.571428,19.05347614410772
85.0999984741211,19.936434532162714,748.1297042781879,0.01977898152128081,1,2,82.33333079020183,14.347292894154108,77.142857,19.05347614410772
82.0,19.936434532162714,748.1297042781879,0.01977898152128081,1,2,82.73333231608073,14.347292894154108,85.714285,19.05347614410772
83.5999984741211,19.936434532162714,748.1297042781879,0.01977898152128081,1,2,82.73333231608073,14.347292894154108,94.285714,19.05347614410772
82.5999984741211,19.936434532162714,748.1297042781879,0.01977898152128081,1,2,82.73333231608073,14.347292894154108,102.857142,19.05347614410772
84.0,19.936434532162714,748.1297042781879,0.01977898152128081,1,2,84.0,14.347292894154108,111.428571,19.05347614410772
84.0,22.855396164039345,714.2857142857143,0.03369236350514172,1,2,84.96666717529297,23.411696525174328,120.0,24.294531945891162
86.0,22.855396164039345,714.2857142857143,0.03369236350514172,1,2,84.96666717529297,23.411696525174328,130.0,24.294531945891162
84.9000015258789,22.855396164039345,714.2857142857143,0.03369236350514172,1,2,84.96666717529297,23.411696525174328,140.0,24.294531945891162
85.4000015258789,22.855396164039345,714.2857142857143,0.03369236350514172,1,2,87.9000015258789,23.411696525174328,150.0,24.294531945891162
85.80000305175781,22.855396164039345,714.2857142857143,0.03369236350514172,1,2,87.9000015258789,23.411696525174328,160.0,24.294531945891162
92.5,22.855396164039345,714.2857142857143,0.03369236350514172,1,2,87.9000015258789,23.411696525174328,170.0,24.294531945891162
92.5,27.361160670609173,734.3941522789852,0.043799420275343295,1,2,90.0,30.462188770581687,180.0,28.776574573246766
87.0999984741211,27.361160670609173,734.3941522789852,0.043799420275343295,1,2,90.0,30.462188770581687,188.571428,28.776574573246766
90.4000015258789,27.361160670609173,734.3941522789852,0.043799420275343295,1,2,90.0,30.462188770581687,197.142857,28.776574573246766
85.0,27.361160670609173,734.3941522789852,0.043799420275343295,1,2,84.39999898274739,30.462188770581687,205.714285,28.776574573246766
83.5,27.361160670609173,734.3941522789852,0.043799420275343295,1,2,84.39999898274739,30.462188770581687,214.285714,28.776574573246766
84.69999694824219,27.361160670609173,734.3941522789852,0.043799420275343295,1,2,84.39999898274739,30.462188770581687,222.857142,28.776574573246766
81.69999694824219,27.361160670609173,734.3941522789852,0.043799420275343295,1,2,81.69999694824219,30.462188770581687,231.428571,28.776574573246766
81.69999694824219,25.548581847528805,736.1963190184049,0.04181514282396681,1,2,82.56666564941406,29.54294087155786,240.0,25.76221731080927
81.5,25.548581847528805,736.1963190184049,0.04181514282396681,1,2,82.56666564941406,29.54294087155786,250.0,25.76221731080927
84.5,25.548581847528805,736.1963190184049,0.04181514282396681,1,2,82.56666564941406,29.54294087155786,260.0,25.76221731080927
83.69999694824219,25.548581847528805,736.1963190184049,0.04181514282396681,1,2,87.53333282470703,29.54294087155786,270.0,25.76221731080927
90.0,25.548581847528805,736.1963190184049,0.04181514282396681,1,2,87.53333282470703,29.54294087155786,280.0,25.76221731080927
88.9000015258789,25.548581847528805,736.1963190184049,0.04181514282396681,1,2,87.53333282470703,29.54294087155786,290.0,25.76221731080927
88.9000015258789,21.035307242712644,728.1553263218829,0.02421160264984516,1,2,86.86666870117188,16.990629616222325,300.0,19.573570089307594
86.80000305175781,21.035307242712644,728.1553263218829,0.02421160264984516,1,2,86.86666870117188,16.990629616222325,308.571428,19.573570089307594
84.9000015258789,21.035307242712644,728.1553263218829,0.02421160264984516,1,2,86.86666870117188,16.990629616222325,317.142857,19.573570089307594
82.4000015258789,21.035307242712644,728.1553263218829,0.02421160264984516,1,2,84.06666819254558,16.990629616222325,325.714285,19.573570089307594
85.80000305175781,21.035307242712644,728.1553263218829,0.02421160264984516,1,2,84.06666819254558,16.990629616222325,334.285714,19.573570089307594
84.0,21.035307242712644,728.1553263218829,0.02421160264984516,1,2,84.06666819254558,16.990629616222325,342.857142,19.573570089307594
86.0,21.035307242712644,728.1553263218829,0.02421160264984516,1,2,86.0,16.990629616222325,351.428571,19.573570089307594
86.0,27.5943468655622,733.4963051533854,0.03539818299017338,1,2,88.0999984741211,24.54750424467181,360.0,25.274504871953283
87.0999984741211,27.5943468655622,733.4963051533854,0.03539818299017338,1,2,88.0999984741211,24.54750424467181,368.571428,25.274504871953283
